Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
R[0]_4__reg_p,1.2,3.838e-06,0.000e+00,8.238e-10,3.839e-06
R[0]_6__reg_p,1.2,3.838e-06,0.000e+00,8.216e-10,3.839e-06
R[3]_6__reg_p,1.2,3.838e-06,0.000e+00,8.389e-10,3.839e-06
out_7__reg_p,1.2,3.836e-06,0.000e+00,8.521e-10,3.836e-06
out_5__reg_p,1.2,3.836e-06,0.000e+00,8.459e-10,3.836e-06
out_2__reg_p,1.2,3.836e-06,0.000e+00,8.450e-10,3.836e-06
out_4__reg_p,1.2,3.835e-06,0.000e+00,8.461e-10,3.836e-06
out_0__reg_p,1.2,3.834e-06,0.000e+00,8.452e-10,3.835e-06
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_OR__Y_B_DFFQX1H7R_Q,1.2,3.834e-06,0.000e+00,8.615e-10,3.834e-06
R[3]_0__reg_p,1.2,3.832e-06,0.000e+00,8.615e-10,3.833e-06
R[1]_5__reg_p_D_NOR3X1P4H7R_Y,1.2,3.817e-06,0.000e+00,8.291e-11,3.817e-06
pc_0__reg_p_D_NOR2X0P5H7R_Y_B_AOI21X0P5H7R_Y,1.2,3.782e-06,0.000e+00,9.018e-11,3.782e-06
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_XOR2X0P5H7R_A_Y_XNOR2X3H7R_A_B_OAOI211X1P4H7R_Y_A0_NOR2BX1P4H7R_B,1.2,3.658e-06,0.000e+00,1.821e-10,3.659e-06
R[0]_5__XNOR2X4H7R_A_Y_AO31X4H7R_A0_A2_AOI222X4H7R_Y_A0_NAND3X1P4H7R_Y,1.2,3.559e-06,0.000e+00,7.546e-11,3.559e-06
out_1__reg_p_D_OAOI211X0P5H7R_Y,1.2,3.509e-06,0.000e+00,8.957e-11,3.509e-06
out_5__reg_p_D_OAOI211X0P5H7R_Y,1.2,3.493e-06,0.000e+00,8.978e-11,3.493e-06
out_4__reg_p_D_OAOI211X0P5H7R_Y,1.2,3.477e-06,0.000e+00,8.983e-11,3.477e-06
pc_2__reg_p,1.2,3.460e-06,0.000e+00,8.513e-10,3.461e-06
R[2]_7__reg_p_D_NOR2X0P5H7R_Y,1.2,3.414e-06,0.000e+00,7.110e-11,3.414e-06
out_3__reg_p_D_OAOI211X0P5H7R_Y,1.2,3.411e-06,0.000e+00,8.993e-11,3.411e-06
R[1]_1__NAND2X0P5H7R_B_Y_OAI211X0P7H7R_C0_Y_OAI31X1P4H7R_B0,1.2,3.385e-06,0.000e+00,1.339e-10,3.385e-06
out_2__reg_p_D_OAOI211X0P5H7R_Y,1.2,3.367e-06,0.000e+00,8.952e-11,3.367e-06
pc_3__reg_p_D_AOI21X0P5H7R_Y_A1_NAND3X0P5H7R_Y_C_NAND3X0P5H7R_Y,1.2,3.237e-06,0.000e+00,4.556e-11,3.237e-06
out_6__reg_p,1.2,3.204e-06,0.000e+00,8.519e-10,3.205e-06
